,name,address,age,sex,date_of_birth
0,Edith Boudreaux,"11818 Lori Crossing Apt. 802
Pughstad, DC 78165",61.0,F,1957-04-25
1,Terry Terry,"PSC 4657, Box 5446
APO AP 58412",52.0,M,1965-12-12
2,Janet Washington,"Unit 9759 Box 9470
DPO AP 45549",,F,1989-09-08
3,Stephen Lalk,"137 Lewis Flat Suite 762
West Elizabeth, AL 32973",36.0,M,1982/01/08
4,Margaret Chabot,"995 Frank Stravenue
South Matthewport, TX 81402",??,F,64-06-23
5,Colleen Satterwhite,"1781 Meredith Skyway Suite 328
Cordovaburgh, CA 13637",,F,30/03/1945
6,Judy Smith,"2415 Elizabeth Knoll Suite 030
Cordovafort, CO 02589",28.0,F,1990-09-17
7,Anna Swartz,"49824 Kim View
West Ericborough, VT 42457",28.0,F,89-11-01
8,Patricia Kealy,"53231 Matthew Spur Apt. 079
North Brian, MA 30418",43.0,F,1975-02-18
9,Abraham Bruce,"USNV Gallegos
FPO AA 99743",63.0,?,1955-07-10 00:00:00
10,Morgan Toole,"655 Karen Causeway
Benjaminberg, NY 46590",,F,45-07-09
11,Betty Kannel,"9197 Juarez Lock
New Matthew, VA 12312",37.0,F,1981-08-01
12,James Wilson,"9892 Stephen Track Suite 831
Sharonstad, TN 16192",27.0,M,1991-10-11
13,Patricia Wasilewski,"62673 Jeanette Track Apt. 852
Mckenzieberg, WY 57271",80.0,F,01/02/1938
14,Roy Wilson,"85154 Young Mill
Aaronville, IA 31780",68.0,?,1949-12-15
15,Lori Scott,"509 Antonio Haven Suite 117
West Ricky, OK 35203",73.0,F,45-04-01
16,Karen Boyles,"024 Jordan Plains Suite 643
Andreamouth, WI 58957",66.0,F,1952-07-31
17,Elizabeth Davis,"31259 Porter Gateway Suite 886
East Sarahfort, MS 21557",29.0,F,1989-01-12
18,Carl Young,"USNV Robinson
FPO AA 16102",,M,1957-12-30
19,Debra White,"6135 Keith Route Apt. 868
Abigailchester, OK 63422",68.0,F,1949-12-13
20,Kelly Webb,"30989 Robert Stream Apt. 520
Jorgehaven, MS 99923",79.0,F,1939-06-18 00:00:00
21,Sandra Cherry,"6934 Victor Turnpike Apt. 644
Lake Paulamouth, NE 75992",59.0,F,1959-01-11
22,Terri Alexander,"83150 James Isle Suite 616
Lake Christinaton, SC 16583",84.0,F,1933-12-16 00 00 00
23,Ronald Speigel,"2397 Powell Skyway Apt. 944
New Brianport, PA 58357",39.0,M,1979-05-08 00 00 00
24,Anitra Kennerly,"58132 Emily Club Apt. 346
Emmaborough, LA 16007",21.0,F,97-05-11
25,Amanda Grulkey,"4017 Marcus Brook
West Amber, NY 39009",66.0,F,1952/07/31
26,Michael Guzman,"6580 Gregory Fork Apt. 987
Port Joshuaport, NC 69576",44.0,M,1973-12-27
27,Melinda Deoliveira,"2503 Brown Island Apt. 531
Fosterton, NC 83127",30.0,F,1987-10-25
28,Linda Stubblefield,"3266 Michael Walk Suite 579
Angelaside, AL 13883",92.0,F,1926-06-09
29,Spencer Castano,"0845 Brown Keys
New Tiffany, AZ 18220",66.0,?,1952-05-09
30,Hoyt Martinez,"39232 Brewer Park Apt. 109
North Sara, ME 96926",53.0,M,1964-11-28
31,Roy Garcia,"318 Carpenter Mill
Josephfurt, CA 66815",,M,1950-09-05
32,Julia Smith,"33135 Elizabeth Squares
Colleenmouth, MN 55019",,F,98-09-30
33,Nell Lopez,"PSC 0392, Box 5508
APO AE 57181",,F,1972/12/09
